Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
11,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx:60,Text,Minor,"The PDF uses a standard dash after ""PATCH"", but the MDX shows a garbled character (ƒ?).""",Replace the garbled character with a standard dash to match the PDF.,No,No
12,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/03-general-overview.mdx:139,Text,Minor,"The PDF uses standard quotes around ""adapted from"" and ""from"", but the MDX shows garbled quote characters (ƒ?o...ƒ??).",Replace the garbled quote characters with standard quotes to match the PDF.,No,No
13,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:24,Text,Minor,"The PDF uses an em dash in ""uncommon—the"", but the MDX shows garbled characters (ƒ?).""",Replace the garbled characters with an em dash (or a standard dash) to match the PDF.,No,No
14,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:32,Citation,Major,"The PDF cites Brauns (1985) here, but the MDX only includes <Citation citationKey=""Brauns1985"" /> without the raw author-year text.","Add the raw author-year text ""Brauns (1985)"" adjacent to the citation component.",No,No
15,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:33,Citation,Major,"The PDF cites Robbins and Griffiths (2018) here, but the MDX only includes <Citation citationKey=""Robbins2018"" /> without the raw author-year text.","Add the raw author-year text ""Robbins and Griffiths (2018)"" adjacent to the citation component.",No,No
16,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:42,Citation,Major,"The Figure 8 caption includes the author-year text ""Brauns 1985"" but does not include a <Citation> component.","Add <Citation citationKey=""Brauns1985"" /> in the Figure 8 caption after the Brauns 1985 text.",No,No
17,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:51,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
18,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:52,Citation,Major,"The PDF cites Brauns (1985) here, but the MDX only includes <Citation citationKey=""Brauns1985"" /> without the raw author-year text.","Add the raw author-year text ""Brauns (1985)"" adjacent to the citation component.",No,No
19,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:53,Citation,Major,"The PDF cites Brauns (1985) here, but the MDX only includes <Citation citationKey=""Brauns1985"" /> without the raw author-year text.","Add the raw author-year text ""Brauns (1985)"" adjacent to the citation component.",No,No
20,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:54,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
21,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:64,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
22,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/04-background.mdx:64,Citation,Major,"The PDF cites Brauns (1985) here, but the MDX only includes <Citation citationKey=""Brauns1985"" /> without the raw author-year text.","Add the raw author-year text ""Brauns (1985)"" adjacent to the citation component.",No,No
23,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx:26,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
24,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx:27,Citation,Major,"The PDF cites Brauns (1985) here, but the MDX only includes <Citation citationKey=""Brauns1985"" /> without the raw author-year text.","Add the raw author-year text ""Brauns (1985)"" adjacent to the citation component.",No,No
25,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx:36,Text,Minor,"The PDF lists the standard sieve designation as ""No. 3/8"", but the MDX shows a garbled value (""No. 3A«"").","Replace ""No. 3A«"" with ""No. 3/8"" to match the PDF.",No,No
26,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx:38,Text,Minor,"The PDF uses standard quotes around ""Hydrometer"", but the MDX shows garbled quote characters (ƒ?oHydrometerƒ??).",Replace the garbled quote characters with standard quotes to match the PDF.,No,No
27,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/05-gradation.mdx:42,Text,Minor,"The PDF uses a standard apostrophe in ""Stokes'"", but the MDX shows a garbled character (ƒ?T).",Replace the garbled character with a standard apostrophe to match the PDF.,No,No
28,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:34,Citation,Major,"The Figure 14 caption includes the author-year text ""Guidoux et al. (2010)"" but does not include a <Citation> component.","Add <Citation citationKey=""Guidoux2010"" /> in the Figure 14 caption after the Guidoux et al. (2010) text.",No,No
29,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:40,Text,Minor,"The PDF uses a standard apostrophe in ""Palisade's"", but the MDX shows a garbled character (ƒ?Ts).",Replace the garbled character with a standard apostrophe to match the PDF.,No,No
30,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:70,Equation,Major,"The empirical coefficient symbol is garbled in the sentence (shown as Ii), but the PDF uses a Greek symbol for this coefficient.",Replace the garbled character with the correct Greek symbol shown in the PDF for the empirical coefficient.,No,Yes
31,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:71,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
32,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:111,Text,Minor,"The PDF uses a standard apostrophe in ""iteration's"", but the MDX shows a garbled character (ƒ?Ts).",Replace the garbled character with a standard apostrophe to match the PDF.,No,No
33,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:117,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
34,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:175,Equation,Major,"The PDF uses the rho symbol for density of base soil particles, but the MDX shows a garbled character (I?<sub>s</sub>).",Replace the garbled character with the rho symbol for rho<sub>s</sub> to match the PDF.,No,No
35,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:176,Equation,Major,"The PDF uses the rho symbol for density of water, but the MDX shows a garbled character (I?<sub>w</sub>).",Replace the garbled character with the rho symbol for rho<sub>w</sub> to match the PDF.,No,No
36,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:179,Equation,Major,"The empirical coefficient symbol is garbled in the where block (shown as Iý), but the PDF uses a Greek symbol for this coefficient.",Replace the garbled character with the correct Greek symbol shown in the PDF for the empirical coefficient.,No,Yes
37,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:200,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
38,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:201,Citation,Major,"The PDF cites Brauns (1985) here, but the MDX only includes <Citation citationKey=""Brauns1985"" /> without the raw author-year text.","Add the raw author-year text ""Brauns (1985)"" adjacent to the citation component.",No,No
39,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:202,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
40,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:206,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
41,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:209,Citation,Major,"The PDF cites Guidoux et al. (2010) here, but the MDX only includes <Citation citationKey=""Guidoux2010"" /> without the raw author-year text.","Add the raw author-year text ""Guidoux et al. (2010)"" adjacent to the citation component.",No,No
42,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:211,Citation,Major,"The PDF cites Kozeny (1953) here, but the MDX only includes <Citation citationKey=""Kozeny1953"" /> without the raw author-year text.","Add the raw author-year text ""Kozeny (1953)"" adjacent to the citation component.",No,No
43,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:319,Text,Minor,"The PDF uses standard quotes around ""@RISK"", but the MDX shows garbled quote characters (ƒ?o@RISKƒ??).",Replace the garbled quote characters with standard quotes to match the PDF.,No,No
44,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:320,Text,Minor,"The PDF uses a standard apostrophe in ""iteration's"", but the MDX shows a garbled character (ƒ?Ts).",Replace the garbled character with a standard apostrophe to match the PDF.,No,No
45,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/06-guidoux-et-al-method.mdx:340,Text,Minor,"The PDF uses a standard apostrophe in ""iteration's"", but the MDX shows a garbled character (ƒ?Ts).",Replace the garbled character with a standard apostrophe to match the PDF.,No,No
46,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx:33,Citation,Major,"The Figure 37 caption includes the author-year text ""Brauns (1985)"" but does not include a <Citation> component.","Add <Citation citationKey=""Brauns1985"" /> in the Figure 37 caption after the Brauns (1985) text.",No,No
47,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx:84,Text,Minor,"The PDF uses a standard apostrophe in ""iteration's"", but the MDX shows a garbled character (ƒ?Ts).",Replace the garbled character with a standard apostrophe to match the PDF.,No,No
48,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx:104,Equation,Major,"The PDF uses the rho symbol for density of base soil particles, but the MDX shows a garbled character (I?<sub>s</sub>).",Replace the garbled character with the rho symbol for rho<sub>s</sub> to match the PDF.,No,No
49,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx:105,Equation,Major,"The PDF uses the rho symbol for density of water, but the MDX shows a garbled character (I?<sub>w</sub>).",Replace the garbled character with the rho symbol for rho<sub>w</sub> to match the PDF.,No,No
50,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/soil-contact-erosion-initiation/v1.0/07-brauns-method.mdx:128,Citation,Major,"The PDF cites Brauns (1985) here, but the MDX only includes <Citation citationKey=""Brauns1985"" /> without the raw author-year text.","Add the raw author-year text ""Brauns (1985)"" adjacent to the citation component.",No,No
