Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
11,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/06-screening.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/06-screening.mdx:49,Citation,Major,"The PDF uses Fell et al. (2008), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Fell et al. (2008) and keep <Citation citationKey=""Fell2008"" />.",No,No
12,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/06-screening.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/06-screening.mdx:60,Citation,Major,"The PDF Figure 19 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Fell2008"" /> to the Figure 19 caption (keep the existing author-year text).",No,No
13,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/07-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/07-burenkova-method.mdx:25,Citation,Major,"The PDF uses Burenkova (1993), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Burenkova (1993) and keep <Citation citationKey=""Burenkova1993"" />.",No,No
14,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/07-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/07-burenkova-method.mdx:31,Equation,Major,"The PDF shows h'' = D90/D15, but the MDX equation uses D90/D10 in Equation 4.",Update Equation 4 to h'' = D90/D15 (change D_{10} to D_{15}).,No,No
15,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/07-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/07-burenkova-method.mdx:54,Citation,Major,"The PDF Figure 20 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Burenkova1993"" /> to the Figure 20 caption (keep the existing author-year text).",No,No
16,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx:24,Citation,Major,"The PDF uses Burenkova (1993), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Burenkova (1993) and keep <Citation citationKey=""Burenkova1993"" />.",No,No
17,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx:28,Citation,Major,"The PDF uses Wan and Fell (2008), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Wan and Fell (2008) and keep <Citation citationKey=""Wan2008"" />.",No,No
18,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx:28,Citation,Major,"The PDF uses Burenkova (1993) in this sentence, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Burenkova (1993) and keep <Citation citationKey=""Burenkova1993"" />.",No,No
19,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx:48,Citation,Major,"The PDF uses Burenkova (1993) here, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Burenkova (1993) and keep <Citation citationKey=""Burenkova1993"" />.",No,No
20,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx:57,Citation,Major,"The PDF Figure 24 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Wan2004"" /> to the Figure 24 caption (keep the existing author-year text).",No,No
21,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx:65,Citation,Major,"The PDF Figure 25 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Wan2004"" /> to the Figure 25 caption (keep the existing author-year text).",No,No
22,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx:69,Citation,Major,"The PDF uses Wan and Fell (2008), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Wan and Fell (2008) and keep <Citation citationKey=""Wan2008"" />.",No,No
23,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx:91,Citation,Major,"The PDF uses Burenkova (1993) in this sentence, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Burenkova (1993) and keep <Citation citationKey=""Burenkova1993"" />.",No,No
24,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/08-modified-burenkova-method.mdx:123,Citation,Major,"The PDF uses Burenkova (1993) in this sentence, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Burenkova (1993) and keep <Citation citationKey=""Burenkova1993"" />.",No,No
25,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/09-alternative-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/09-alternative-method.mdx:40,Citation,Major,"The PDF Figure 28 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Wan2008"" /> to the Figure 28 caption (keep the existing author-year text).",No,No
26,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:25,Citation,Major,"The PDF uses Kezdi (1979), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Kezdi (1979) and keep <Citation citationKey=""Kezdi1979"" />.",No,No
27,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:25,Citation,Major,"The PDF uses Kenney and Lau (1985, 1986), but the MDX only includes <Citation> tags without the author-year text.","Update the sentence to Kenney and Lau (1985, 1986) and keep <Citation citationKey=""Kenney1985"" /> and <Citation citationKey=""Kenney1986"" />.",No,No
28,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:26,Citation,Major,"The PDF uses Li and Fannin (2008), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Li and Fannin (2008) and keep <Citation citationKey=""Li2008"" />.",No,No
29,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:43,Citation,Major,"The PDF Figure 32 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Li2008"" /> to the Figure 32 caption (keep the existing author-year text).",No,No
30,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:47,Citation,Major,"The PDF uses Kenney and Lau (1985, 1986) here, but the MDX only includes <Citation> tags without the author-year text.","Update the sentence to Kenney and Lau (1985, 1986) and keep <Citation citationKey=""Kenney1985"" /> and <Citation citationKey=""Kenney1986"" />.",No,No
31,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:77,Citation,Major,"The PDF Figure 33 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Kenney1985"" /> and <Citation citationKey=""Kenney1986"" /> to the Figure 33 caption (keep the existing author-year text).",No,No
32,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:87,Citation,Major,"The PDF uses Li and Fannin (2008) here, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Li and Fannin (2008) and keep <Citation citationKey=""Li2008"" />.",No,No
33,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:96,Citation,Major,"The PDF Figure 34 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Li2008"" /> to the Figure 34 caption (keep the existing author-year text).",No,No
34,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:110,Citation,Major,"The PDF Figure 35 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Li2008"" /> to the Figure 35 caption (keep the existing author-year text).",No,No
35,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/10-modified-kenney-and-lau-method.mdx:115,Citation,Major,"The PDF uses Li and Fannin (2008) here, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Li and Fannin (2008) and keep <Citation citationKey=""Li2008"" />.",No,No
36,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx:26,Citation,Major,"The PDF uses Douglas et al. (2019), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Douglas et al. (2019) and keep <Citation citationKey=""Douglas2019"" />.",No,No
37,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx:32,Citation,Major,"The PDF uses United States Society on Dams (2021), but the MDX only includes a <Citation> without the author-year text.","Update the text to United States Society on Dams (2021) and keep <Citation citationKey=""USSD2021"" />.",No,No
38,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx:38,Citation,Major,"The PDF uses Douglas et al. (2019) here, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Douglas et al. (2019) and keep <Citation citationKey=""Douglas2019"" />.",No,No
39,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx:77,Citation,Major,"The PDF Table 1 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Douglas2019"" /> to the Table 1 caption (keep the existing author-year text).",No,No
40,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx:93,Citation,Major,"The PDF Figure 41 caption includes author-year text, but the MDX caption lacks the required <Citation>.","Add <Citation citationKey=""Douglas2019"" /> to the Figure 41 caption (keep the existing author-year text).",No,No
41,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx:100,Citation,Major,"The PDF uses Douglas et al. (2019) here, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Douglas et al. (2019) and keep <Citation citationKey=""Douglas2019"" />.",No,No
42,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx:104,Citation,Major,"The PDF uses Douglas et al. (2019) here, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Douglas et al. (2019) and keep <Citation citationKey=""Douglas2019"" />.",No,No
43,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx:105,Citation,Major,"The PDF uses Wan and Fell (2004), but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Wan and Fell (2004) and keep <Citation citationKey=""Wan2004"" />.",No,No
44,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx,docs/toolbox-technical-manuals/internal-erosion-suite/internal-instability/v1.0/11-mechanism-and-amount-of-erosion.mdx:106,Citation,Major,"The PDF uses Douglas et al. (2019) here, but the MDX only includes a <Citation> without the author-year text.","Update the sentence to Douglas et al. (2019) and keep <Citation citationKey=""Douglas2019"" />.",No,No
